c0,c1
34.0817,-118.3112
34.0541,-118.3074
34.0618,-118.2941
34.0654,-118.3066
34.0747,-118.2903
34.0674,-118.2954
34.0674,-118.2954
34.0654,-118.2954
34.0536,-118.3112
34.0598,-118.2842
34.0559,-118.2976
34.0728,-118.3004
34.0472,-118.3116
34.0559,-118.3091
34.0578,-118.2929
34.0527,-118.3074
34.04,-118.3008
34.0559,-118.3031
34.0728,-118.2917
34.0454,-118.313
34.0536,-118.3112
34.0735,-118.2879
34.0538,-118.2989
34.0667,-118.2879
34.0735,-118.2856
34.0559,-118.3091
34.0654,-118.3103
34.0728,-118.2975
34.0598,-118.2954
34.0473,-118.2976
34.0598,-118.2868
34.0799,-118.3113
34.0776,-118.3196
34.0513,-118.309
34.0654,-118.3116
34.0598,-118.2987
34.069,-118.3104
34.0491,-118.2989
34.0763,-118.3135
34.0399,-118.2841
34.0454,-118.3102
34.0597,-118.302
34.0608,-118.2903
34.0608,-118.2903
34.0577,-118.2971
34.0578,-118.2891
34.0618,-118.3214
34.0637,-118.2899
34.1992,-118.5943
34.1685,-118.6058
34.1657,-118.591
34.166,-118.6233
34.1974,-118.5797
34.171,-118.5709
34.1992,-118.5885
34.2061,-118.568
34.1657,-118.591
34.2083,-118.6147
34.2096,-118.5732
34.22,-118.6227
34.1992,-118.5943
34.1684,-118.6021
34.1992,-118.5801
34.2171,-118.6124
34.201,-118.6295
34.1814,-118.6132
34.2083,-118.6003
34.2315,-118.6029
34.1924,-118.6194
34.2176,-118.6031
34.2119,-118.6176
34.1679,-118.5974
34.1905,-118.6059
34.2084,-118.571
34.1865,-118.6103
34.2137,-118.6016
34.2028,-118.6059
34.1685,-118.6038
34.1941,-118.6402
34.2052,-118.6557
34.2041,-118.6349
34.1922,-118.6081
34.2059,-118.571
34.1479,-118.5999
34.1829,-118.6002
34.1912,-118.5941
34.2335,-118.604
34.2029,-118.5885
34.2071,-118.5754
34.1581,-118.6006
34.221,-118.646
34.2065,-118.6016
34.2065,-118.5906
34.2248,-118.611
34.1797,-118.6093
34.1829,-118.5988
34.1473,-118.5904
34.2202,-118.5732
34.1871,-118.6469
34.1885,-118.6452
34.1855,-118.6634
34.2096,-118.5863
34.1464,-118.5997
34.2224,-118.6354
34.1733,-118.5974
34.1921,-118.5884
34.22,-118.6227
34.16,-118.6262
34.2047,-118.5863
34.2011,-118.5841
34.205,-118.6234
34.1946,-118.6272
34.0416,-118.255
34.0453,-118.2499
34.0439,-118.2514
34.0502,-118.254
34.0652,-118.2407
34.045,-118.264
34.0391,-118.2659
34.0472,-118.2442
34.0419,-118.2485
34.0451,-118.2604
34.0637,-118.244
34.0454,-118.2657
34.0482,-118.2472
34.0409,-118.2609
34.0435,-118.2427
34.0482,-118.2472
34.0503,-118.2504
34.0354,-118.2714
34.046,-118.2509
34.0416,-118.255
34.053,-118.2513
34.0467,-118.2411
34.0454,-118.236
34.0524,-118.2573
34.0594,-118.2452
34.0455,-118.2452
34.0467,-118.252
34.0442,-118.2439
34.0439,-118.2514
34.0424,-118.2493
34.0423,-118.2631
34.0449,-118.2458
34.0658,-118.2814
34.0511,-118.2707
34.0619,-118.2702
34.0689,-118.2677
34.0565,-118.2566
34.062,-118.2804
34.0611,-118.2707
34.062,-118.2804
34.0413,-118.2815
34.045,-118.2818
34.0576,-118.2644
34.061,-118.2615
34.0531,-118.2694
34.047,-118.2799
34.0599,-118.2655
34.0709,-118.2801
34.0428,-118.2819
34.0648,-118.2761
34.055,-118.2735
34.0727,-118.2597
34.061,-118.2615
34.0635,-118.2554
34.0566,-118.2681
34.0641,-118.2567
34.0777,-118.2958
34.061,-118.2615
34.0692,-118.2792
34.0867,-118.2869
34.061,-118.2615
34.0611,-118.2784
34.0571,-118.2658
34.0544,-118.2809
34.0686,-118.2844
34.0682,-118.2833
34.0671,-118.2713
34.0693,-118.2687
34.0571,-118.2658
34.0554,-118.2745
34.0877,-118.2869
34.076,-118.2737
34.0523,-118.2676
34.061,-118.2615
34.0693,-118.2687
34.0569,-118.2736
34.0893,-118.2785
34.0636,-118.2805
34.0435,-118.2789
34.0534,-118.2745
34.053,-118.2648
34.053,-118.2648
34.0838,-118.2845
34.057,-118.2779
34.0534,-118.2788
34.0416,-118.255
34.0453,-118.2499
34.0439,-118.2514
34.0502,-118.254
34.0652,-118.2407
34.045,-118.264
34.0391,-118.2659
34.0472,-118.2442
34.0419,-118.2485
34.0451,-118.2604
34.0637,-118.244
34.0454,-118.2657
34.0482,-118.2472
34.0409,-118.2609
34.0435,-118.2427
34.0482,-118.2472
34.0503,-118.2504
34.0354,-118.2714
34.046,-118.2509
34.0416,-118.255
34.053,-118.2513
34.0467,-118.2411
34.0454,-118.236
34.0524,-118.2573
34.0594,-118.2452
34.0455,-118.2452
34.0467,-118.252
34.0442,-118.2439
34.0439,-118.2514
34.0424,-118.2493
34.0423,-118.2631
34.0449,-118.2458
34.0658,-118.2814
34.0511,-118.2707
34.0619,-118.2702
34.0689,-118.2677
34.0565,-118.2566
34.062,-118.2804
34.0611,-118.2707
34.062,-118.2804
34.0413,-118.2815
34.045,-118.2818
34.0576,-118.2644
34.061,-118.2615
34.0531,-118.2694
34.047,-118.2799
34.0599,-118.2655
34.0709,-118.2801
34.0428,-118.2819
34.0648,-118.2761
34.055,-118.2735
34.0727,-118.2597
34.061,-118.2615
34.0635,-118.2554
34.0566,-118.2681
34.0641,-118.2567
34.0777,-118.2958
34.061,-118.2615
34.0692,-118.2792
34.0867,-118.2869
34.061,-118.2615
34.0611,-118.2784
34.0571,-118.2658
34.0544,-118.2809
34.0686,-118.2844
34.0682,-118.2833
34.0671,-118.2713
34.0693,-118.2687
34.0571,-118.2658
34.0554,-118.2745
34.0877,-118.2869
34.076,-118.2737
34.0523,-118.2676
34.061,-118.2615
34.0693,-118.2687
34.0569,-118.2736
34.0893,-118.2785
34.0636,-118.2805
34.0435,-118.2789
34.0534,-118.2745
34.053,-118.2648
34.053,-118.2648
34.0838,-118.2845
34.057,-118.2779
34.0534,-118.2788
33.9728,-118.2783
33.973,-118.2695
34.0001,-118.3089
33.9873,-118.3186
33.9659,-118.2695
33.9837,-118.3245
34.0016,-118.289
33.9906,-118.3002
33.9906,-118.3002
33.9906,-118.3002
33.9906,-118.3002
33.999,-118.3138
33.959,-118.3046
33.96,-118.3003
33.9798,-118.309
33.9983,-118.3002
33.9969,-118.2959
33.9644,-118.2842
33.9765,-118.2827
33.9856,-118.3089
33.9873,-118.3186
33.9792,-118.2892
33.952,-118.3117
33.9714,-118.2652
33.9767,-118.3338
33.9785,-118.309
33.9782,-118.3294
33.9785,-118.2958
33.9638,-118.2673
33.9745,-118.3309
33.96,-118.309
33.9976,-118.3149
33.9601,-118.2739
33.9719,-118.3133
33.9892,-118.3024
33.9762,-118.3133
33.9647,-118.2651
33.9662,-118.2739
33.9745,-118.333
33.96,-118.309
33.9633,-118.2783
33.9933,-118.3149
33.9984,-118.2521
34.0092,-118.2565
34.0146,-118.2634
33.9852,-118.2667
34.0157,-118.2562
34.0002,-118.2499
33.9824,-118.2783
34.0089,-118.2494
33.9958,-118.2783
33.9958,-118.2783
34.0254,-118.2551
34.0373,-118.2503
34.0117,-118.2446
34.0373,-118.2503
33.9966,-118.2617
34.0068,-118.2474
34.0058,-118.2565
34.0265,-118.2723
34.0082,-118.2634
33.9954,-118.2385
33.9774,-118.2739
34.0002,-118.2499
34.0058,-118.2474
33.986,-118.2783
34.0265,-118.2723
34.0487,-118.2361
34.0594,-118.2452
34.0482,-118.2472
34.0474,-118.2496
34.0363,-118.2672
34.0515,-118.2424
34.0415,-118.2332
34.0564,-118.2498
34.0455,-118.2452
34.0494,-118.2581
34.0317,-118.2641
34.0637,-118.244
34.0487,-118.2571
34.0736,-118.2312
34.0467,-118.252
